index,title,url
1,Albedo,https://en.wikipedia.org/wiki/Albedo
2,Apollo program,https://en.wikipedia.org/wiki/Apollo_program
3,Asteroid,https://en.wikipedia.org/wiki/Asteroid
4,Asteroid belt,https://en.wikipedia.org/wiki/Asteroid_belt
5,Astronomical unit,https://en.wikipedia.org/wiki/Astronomical_unit
6,Callisto (moon),https://en.wikipedia.org/wiki/Callisto_(moon)
7,Cassini–Huygens,https://en.wikipedia.org/wiki/Cassini%E2%80%93Huygens
8,Celestial mechanics,https://en.wikipedia.org/wiki/Celestial_mechanics
9,Ceres (dwarf planet),https://en.wikipedia.org/wiki/Ceres_(dwarf_planet)
10,Charon (moon),https://en.wikipedia.org/wiki/Charon_(moon)
11,Clyde Tombaugh,https://en.wikipedia.org/wiki/Clyde_Tombaugh
12,Comet,https://en.wikipedia.org/wiki/Comet
13,Deimos (moon),https://en.wikipedia.org/wiki/Deimos_(moon)
14,Dwarf planet,https://en.wikipedia.org/wiki/Dwarf_planet
15,Earth,https://en.wikipedia.org/wiki/Earth
16,Ecliptic,https://en.wikipedia.org/wiki/Ecliptic
17,Enceladus,https://en.wikipedia.org/wiki/Enceladus
18,Eris (dwarf planet),https://en.wikipedia.org/wiki/Eris_(dwarf_planet)
19,Europa (moon),https://en.wikipedia.org/wiki/Europa_(moon)
20,European Space Agency,https://en.wikipedia.org/wiki/European_Space_Agency
21,Galileo Galilei,https://en.wikipedia.org/wiki/Galileo_Galilei
22,Ganymede (moon),https://en.wikipedia.org/wiki/Ganymede_(moon)
23,Gas giant,https://en.wikipedia.org/wiki/Gas_giant
24,Gravity,https://en.wikipedia.org/wiki/Gravity
25,Halley's Comet,https://en.wikipedia.org/wiki/Halley's_Comet
26,Haumea,https://en.wikipedia.org/wiki/Haumea
27,Heliosphere,https://en.wikipedia.org/wiki/Heliosphere
28,Hubble Space Telescope,https://en.wikipedia.org/wiki/Hubble_Space_Telescope
29,Ice giant,https://en.wikipedia.org/wiki/Ice_giant
30,Io (moon),https://en.wikipedia.org/wiki/Io_(moon)
31,Isaac Newton,https://en.wikipedia.org/wiki/Isaac_Newton
32,James Webb Space Telescope,https://en.wikipedia.org/wiki/James_Webb_Space_Telescope
33,Johannes Kepler,https://en.wikipedia.org/wiki/Johannes_Kepler
34,Jupiter,https://en.wikipedia.org/wiki/Jupiter
35,Kepler's laws of planetary motion,https://en.wikipedia.org/wiki/Kepler's_laws_of_planetary_motion
36,Kuiper belt,https://en.wikipedia.org/wiki/Kuiper_belt
37,Lagrange point,https://en.wikipedia.org/wiki/Lagrange_point
38,Light-year,https://en.wikipedia.org/wiki/Light-year
39,Makemake,https://en.wikipedia.org/wiki/Makemake
40,Mars,https://en.wikipedia.org/wiki/Mars
41,Mercury (planet),https://en.wikipedia.org/wiki/Mercury_(planet)
42,Meteorite,https://en.wikipedia.org/wiki/Meteorite
43,Meteoroid,https://en.wikipedia.org/wiki/Meteoroid
44,Moon,https://en.wikipedia.org/wiki/Moon
45,NASA,https://en.wikipedia.org/wiki/NASA
46,Natural satellite,https://en.wikipedia.org/wiki/Natural_satellite
47,Near-Earth object,https://en.wikipedia.org/wiki/Near-Earth_object
48,Neptune,https://en.wikipedia.org/wiki/Neptune
49,New Horizons,https://en.wikipedia.org/wiki/New_Horizons
50,Newton's law of universal gravitation,https://en.wikipedia.org/wiki/Newton's_law_of_universal_gravitation
51,Nicolaus Copernicus,https://en.wikipedia.org/wiki/Nicolaus_Copernicus
52,Oort cloud,https://en.wikipedia.org/wiki/Oort_cloud
53,Orbit,https://en.wikipedia.org/wiki/Orbit
54,Phobos (moon),https://en.wikipedia.org/wiki/Phobos_(moon)
55,Planet,https://en.wikipedia.org/wiki/Planet
56,Pluto,https://en.wikipedia.org/wiki/Pluto
57,Rings of Saturn,https://en.wikipedia.org/wiki/Rings_of_Saturn
58,Roche limit,https://en.wikipedia.org/wiki/Roche_limit
59,Saturn,https://en.wikipedia.org/wiki/Saturn
60,Solar System,https://en.wikipedia.org/wiki/Solar_System
61,Solar flare,https://en.wikipedia.org/wiki/Solar_flare
62,Solar wind,https://en.wikipedia.org/wiki/Solar_wind
63,Sun,https://en.wikipedia.org/wiki/Sun
64,Sunspot,https://en.wikipedia.org/wiki/Sunspot
65,Terrestrial planet,https://en.wikipedia.org/wiki/Terrestrial_planet
66,Tidal force,https://en.wikipedia.org/wiki/Tidal_force
67,Titan (moon),https://en.wikipedia.org/wiki/Titan_(moon)
68,Triton (moon),https://en.wikipedia.org/wiki/Triton_(moon)
69,Tycho Brahe,https://en.wikipedia.org/wiki/Tycho_Brahe
70,Uranus,https://en.wikipedia.org/wiki/Uranus
71,Venus,https://en.wikipedia.org/wiki/Venus
72,Voyager 1,https://en.wikipedia.org/wiki/Voyager_1
73,Voyager 2,https://en.wikipedia.org/wiki/Voyager_2
74,William Herschel,https://en.wikipedia.org/wiki/William_Herschel
